movie_id,name,year,rating,directors_count,writers_count,actors_count,total_persons
0,周处除三害,0,8.1,1,0,39,40
1,毕正明的证明,0,7.2,1,0,16,17
2,捕风追影,0,8.1,1,0,11,12
3,好东西,0,8.9,1,0,14,15
4,流浪地球2,0,8.3,1,0,48,49
5,抓娃娃,0,7.1,2,0,48,50
6,年会不能停！,0,8.1,1,0,27,28
7,飞驰人生2,0,7.6,1,0,19,20
8,满江红,0,7.0,1,0,20,21
9,出走的决心,0,8.8,1,0,10,11
10,聊斋：兰若寺,0,6.7,6,0,13,19
11,蛟龙行动,0,6.2,1,0,22,23
12,扬名立万,0,7.4,1,0,14,15
13,爱情神话,0,8.1,1,0,19,20
14,独行月球,0,6.6,1,0,24,25
15,酱园弄·悬案,0,5.6,1,0,23,24
16,走走停停,0,8.0,1,0,14,15
17,刺杀小说家,0,6.5,1,0,38,39
18,青蛇,0,8.6,1,0,7,8
19,误杀2,0,5.7,1,0,13,14
20,无名之辈：否极泰来,0,5.6,1,0,12,13
21,从21世纪安全撤离,0,7.3,1,0,12,13
22,河边的错误,0,7.2,1,0,15,16
23,九龙城寨之围城,0,7.2,1,0,13,14
24,坚如磐石,0,6.0,1,0,18,19
25,向阳·花,0,6.2,1,0,16,17
26,末路狂花钱,0,5.3,1,0,26,27
27,新神榜：杨戬,0,7.0,1,0,22,23
28,乔妍的心事,0,5.3,1,0,16,17
29,刺猬,0,7.3,1,0,21,22
30,解密,0,6.0,1,0,24,25
31,你的婚礼,0,4.7,1,0,8,9
32,想见你,0,6.2,1,0,7,8
33,象山发光事件,0,5.7,1,0,9,10
34,大场面,0,6.1,1,0,13,14
35,前任4：英年早婚,0,5.5,1,0,14,15
36,这么多年,0,6.4,1,0,12,13
37,交换人生,0,5.0,1,0,20,21
38,白日之下,0,7.8,1,0,21,22
39,浪浪山小妖怪,0,8.5,1,0,14,15
40,奇遇,0,7.0,1,0,19,20
41,狂野时代,0,6.5,1,0,10,11
42,南京照相馆,0,8.8,1,0,10,11
43,长安的荔枝,0,7.5,1,0,44,45
44,左撇子女孩,0,7.0,1,0,20,21
45,消失的她,0,6.2,2,0,13,15
46,长津湖,0,7.4,3,0,27,30
47,破·地狱,0,8.3,1,0,11,12
48,人生大事,0,7.3,1,0,13,14
49,宇宙探索编辑部,0,8.0,1,0,28,29
50,三大队,0,7.6,1,0,30,31
51,我们一起摇太阳,0,8.0,1,0,12,13
52,悬崖之上,0,7.3,1,0,13,14
53,射雕英雄传：侠之大者,0,5.2,1,0,24,25
54,雄狮少年,0,8.3,1,0,12,13
